text,label_manual
Pelayanannya sangat jelek.,Negatif
Barang ini sangat rapi.,Positif
Pelayanannya agak cepat.,Positif
Produknya terlalu buruk.,Negatif
Kualitasnya agak halus.,Positif
Bahannya benar-benar rusak.,Negatif
Kualitasnya agak cepat.,Positif
Paketnya terlalu jelek.,Negatif
Produknya cukup halus.,Positif
Paketnya benar-benar memuaskan.,Positif
Pelayanannya lumayan cepat.,Positif
Barang ini terlalu jelek.,Negatif
Pelayanannya sangat original.,Positif
Bahannya benar-benar jelek.,Negatif
Pelayanannya cukup kasar.,Negatif
Kualitasnya lumayan jelek.,Negatif
Pelayanannya terlalu rusak.,Negatif
Paketnya sangat memuaskan.,Positif
Kualitasnya sangat penyok.,Negatif
Produknya lumayan buruk.,Negatif
Barang ini terlalu cepat.,Positif
Kualitasnya terlalu lambat.,Negatif
Barang ini lumayan kasar.,Negatif
Barang ini terlalu penyok.,Negatif
Kualitasnya agak original.,Positif
Pelayanannya benar-benar memuaskan.,Positif
Paketnya cukup rusak.,Negatif
Pengirimannya benar-benar buruk.,Negatif
Bahannya lumayan keren.,Positif
Barang ini terlalu palsu.,Negatif
Bahannya benar-benar kasar.,Negatif
Barang ini benar-benar penyok.,Negatif
Pengirimannya lumayan buruk.,Negatif
Kualitasnya terlalu memuaskan.,Positif
Barang ini benar-benar buruk.,Negatif
Barang ini sangat lambat.,Negatif
Pelayanannya lumayan palsu.,Negatif
Barang ini lumayan original.,Positif
Pelayanannya terlalu kasar.,Negatif
Pelayanannya cukup penyok.,Negatif
Kualitasnya terlalu buruk.,Negatif
Paketnya lumayan cepat.,Positif
Pengirimannya agak cepat.,Positif
Produknya benar-benar kasar.,Negatif
Bahannya terlalu cepat.,Positif
Pelayanannya lumayan cepat.,Positif
Barang ini sangat buruk.,Negatif
Paketnya lumayan kasar.,Negatif
Pelayanannya agak rusak.,Negatif
Pelayanannya cukup oke.,Positif
Barang ini lumayan original.,Positif
Paketnya agak keren.,Positif
Barang ini benar-benar jelek.,Negatif
Paketnya sangat bagus.,Positif
Pelayanannya agak rapi.,Positif
Pengirimannya lumayan lambat.,Negatif
Produknya benar-benar rapi.,Positif
Pelayanannya benar-benar palsu.,Negatif
Produknya agak bagus.,Positif
